longitude,latitude,year,lithology,GWL,rainfall_mm,soil_thickness,normalized_urban_load_proxy,subsidence,subsidence_cum,city,lithology_class,GWL_depth_bgs,GWL_depth_bgs_z,soil_thickness_censored,soil_thickness_imputed,soil_thickness_eff,urban_load_global,z_surf,head_m,GWL_depth_bgs_raw,z_surf_raw,GWL_depth_bgs_m,z_surf_corr,z_surf_flag_outlier,z_surf_m
113.441711,22.887367,2015,Conglomerate–Sandstone,81.06852459,2032.170344759352,1.5,3.3643121958335444e-16,2.239882,2.239882,Nansha,Coarse-Grained Soil,81.06852459,0.9634851045617407,False,1.5,1.5,3.364312195839775e-16,-3.0,-3.8106852459,81.06852459,-3.0,0.8106852459,-3.0,False,-3.0
113.4189,22.886848,2015,Conglomerate–Sandstone,85.01781903,955.7236769907844,1.71,2.915737236389072e-15,1.308296,1.308296,Nansha,Coarse-Grained Soil,85.01781903,1.0762305475914762,False,1.71,1.71,2.915737236394472e-15,-3.0,-3.8501781903,85.01781903,-3.0,0.8501781903,-3.0,False,-3.0
113.434975,22.896183,2015,Conglomerate–Sandstone,47.69633573,955.7236769907844,1.45,1.1214373986111814e-15,3.240924,3.240924,Nansha,Coarse-Grained Soil,47.69633573,0.0107675305606748,False,1.45,1.45,1.1214373986132585e-15,0.0,-0.4769633573,47.69633573,0.0,0.4769633573,0.0,False,0.0
113.425636,22.90448,2015,Shale–Limestone,40.69110417,955.7236769907844,1.8,0.4545454545445364,0.512084,0.512084,Nansha,Mixed Clastics,40.69110417,-0.1892195678330533,False,1.8,1.8,0.4545454545453782,0.0,-0.4069110417,40.69110417,0.0,0.4069110417,0.0,False,0.0
113.435493,22.885294,2015,Mudstone–Siltstone,15.60237487,2032.170344759352,2.96,0.9999999999979798,3.137199,3.137199,Nansha,Fine-Grained Soil,15.60237487,-0.9054588715760284,False,2.96,2.96,0.9999999999998318,-3.0,-3.1560237487,15.60237487,-3.0,0.1560237487,-3.0,False,-3.0
113.469719,22.727131,2015,Sandstone–Siltstone,24.34536023,2032.170344759352,1.87,0.5454545454534473,2.852997,2.852997,Nansha,Mixed Clastics,24.34536023,-0.6558619441269596,False,1.87,1.87,0.5454545454544575,-2.0,-2.2434536023,24.34536023,-2.0,0.2434536023,-2.0,False,-2.0
113.466606,22.73439,2015,Sandstone–Siltstone,30.18720248,2032.170344759352,4.86,0.545454545453444,3.485637,3.485637,Nansha,Mixed Clastics,30.18720248,-0.4890875740229986,False,4.86,4.86,0.5454545454544542,2.0,1.6981279752,30.18720248,2.0,0.3018720248,2.0,False,2.0
113.471268,22.748392,2015,Sandstone–Siltstone,4.130710574,2032.170344759352,0.54,0.5454545454534431,1.323051,1.323051,Nansha,Mixed Clastics,4.130710574,-1.232954806100707,False,0.54,0.54,0.5454545454544533,-1.0,-1.04130710574,4.130710574,-1.0,0.04130710574,-1.0,False,-1.0
113.448975,22.760319,2015,Siltstone–Sandstone,65.2886416,2032.170344759352,1.63,0.6363636363623506,8.094036,8.094036,Nansha,Mixed Clastics,65.2886416,0.5129970678518383,False,1.63,1.63,0.6363636363635291,-3.0,-3.652886416,65.2886416,-3.0,0.6528864160000001,-3.0,False,-3.0
113.451569,22.737503,2015,Siltstone–Shale,22.49996706,2032.170344759352,3.0,0.909090909089072,6.753898,6.753898,Nansha,Fine-Grained Soil,22.49996706,-0.7085446887732915,False,3.0,3.0,0.9090909090907556,4.0,3.7750003294,22.49996706,4.0,0.2249996706,4.0,False,4.0
113.446381,22.779507,2015,Siltstone–Shale,31.50538224,2032.170344759352,3.61,0.9090909090890728,4.765809,4.765809,Nansha,Fine-Grained Soil,31.50538224,-0.4514558493461142,False,3.61,3.61,0.9090909090907564,-2.0,-2.3150538224,31.50538224,-2.0,0.3150538224,-2.0,False,-2.0
113.47023,22.770691,2015,Siltstone–Shale,21.00182621,2032.170344759352,4.7,0.9090909090890776,4.729172,4.729172,Nansha,Fine-Grained Soil,21.00182621,-0.7513139875481365,False,4.7,4.7,0.9090909090907612,-1.0,-1.2100182621,21.00182621,-1.0,0.2100182621,-1.0,False,-1.0
